Age,Department,DistanceFromHome,EducationField,Education,Gender,MaritalStatus,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel,JobRole,AnnualIncome,StockOptionLevel,TrainingTimesLastYear,JobInvolvement,JobLevel,OverTime,PercentSalaryHike,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Attrition
37,Research & Development,6,Medical,3,Male,Divorced,4,13,7,7,6,7,Travel_Rarely,Research Scientist,215064,2,2,4,2,Yes,13,3,3,1,3,No
30,Sales,25,Technical Degree,2,Female,Married,7,4,2,2,2,2,Non-Travel,Sales Executive,170496,1,2,3,2,Yes,12,3,4,3,4,No
26,Sales,1,Life Sciences,3,Male,Married,1,8,8,7,7,7,Travel_Rarely,Sales Executive,190656,1,3,3,2,No,17,3,3,3,3,No
42,Research & Development,2,Other,4,Male,Single,3,14,1,0,0,0,Travel_Rarely,Healthcare Representative,244116,0,6,2,2,No,23,4,1,4,3,No
21,Sales,1,Technical Degree,1,Female,Single,1,3,3,2,1,2,Travel_Frequently,Sales Representative,78264,0,3,2,1,Yes,11,3,1,2,3,Yes
36,Sales,1,Medical,5,Female,Single,4,7,1,0,0,0,Non-Travel,Sales Executive,239508,0,6,3,2,No,15,3,4,4,3,No
36,Sales,3,Medical,4,Male,Married,4,16,13,9,1,12,Travel_Frequently,Sales Executive,349164,1,2,2,3,No,11,3,1,4,3,No
57,Research & Development,1,Medical,4,Male,Married,2,15,3,2,1,2,Travel_Rarely,Healthcare Representative,243180,0,2,3,2,No,11,3,4,3,3,No
40,Research & Development,10,Life Sciences,4,Female,Married,3,10,7,7,1,7,Travel_Rarely,Laboratory Technician,79668,1,3,4,1,Yes,13,3,4,3,3,No
21,Sales,9,Medical,2,Male,Single,1,3,3,2,2,2,Non-Travel,Sales Representative,93960,0,3,3,1,No,24,4,1,4,2,No
33,Sales,5,Marketing,3,Female,Single,1,1,1,0,0,0,Travel_Rarely,Sales Representative,102636,0,2,3,1,Yes,13,3,4,3,3,Yes
37,Research & Development,10,Medical,3,Female,Married,6,17,5,4,0,3,Travel_Rarely,Laboratory Technician,124272,1,3,3,1,No,20,4,3,1,3,No
46,Research & Development,7,Medical,4,Female,Married,2,7,1,0,0,0,Non-Travel,Manufacturing Director,189288,0,2,3,2,No,14,3,3,3,4,No
41,Sales,4,Marketing,3,Male,Single,1,8,8,7,7,7,Travel_Frequently,Sales Executive,336780,0,5,3,2,No,18,3,1,2,3,Yes
50,Research & Development,10,Technical Degree,3,Male,Single,6,20,4,3,1,3,Travel_Rarely,Healthcare Representative,377856,0,2,2,3,No,15,3,4,4,3,No
40,Sales,22,Marketing,2,Male,Married,2,8,6,4,1,0,Travel_Rarely,Sales Executive,229680,2,6,2,2,Yes,12,3,3,3,3,Yes
31,Research & Development,9,Life Sciences,4,Male,Single,0,3,2,2,2,2,Travel_Rarely,Research Scientist,95652,0,5,2,1,Yes,16,3,3,2,3,No
21,Sales,12,Life Sciences,3,Female,Single,1,1,1,0,0,0,Travel_Rarely,Sales Representative,97776,0,0,4,1,No,15,3,3,2,3,Yes
29,Research & Development,23,Life Sciences,3,Male,Single,9,6,3,2,1,2,Travel_Rarely,Research Scientist,79236,0,4,3,1,No,16,3,4,4,3,No
35,Research & Development,9,Life Sciences,4,Male,Single,9,10,1,1,0,0,Travel_Rarely,Healthcare Representative,235440,0,5,2,2,No,19,3,3,2,3,No
27,Research & Development,1,Medical,2,Male,Divorced,1,5,5,2,0,4,Travel_Rarely,Laboratory Technician,137376,1,2,3,1,No,11,3,4,2,3,No
28,Sales,9,Life Sciences,4,Male,Single,1,7,7,5,0,7,Travel_Rarely,Sales Executive,189108,0,1,3,2,No,16,3,2,4,3,No
49,Research & Development,7,Other,3,Male,Single,8,26,5,2,0,0,Travel_Rarely,Healthcare Representative,394740,0,2,2,3,No,24,4,2,3,3,No
51,Sales,14,Life Sciences,2,Female,Married,4,18,7,7,0,7,Travel_Rarely,Sales Executive,177696,1,2,3,2,No,11,3,3,4,2,No
36,Research & Development,2,Life Sciences,3,Female,Married,4,6,2,2,2,2,Travel_Rarely,Research Scientist,91548,1,3,3,1,No,13,3,4,3,3,No
34,Sales,19,Marketing,3,Male,Single,8,9,5,2,0,4,Non-Travel,Sales Executive,190944,0,3,4,2,Yes,13,3,1,4,2,Yes
55,Research & Development,2,Life Sciences,3,Female,Single,2,30,5,4,1,2,Travel_Rarely,Manager,599724,0,2,3,4,Yes,13,3,3,4,3,No
24,Sales,10,Marketing,4,Female,Divorced,1,5,5,2,0,3,Travel_Rarely,Sales Executive,153360,1,2,3,2,Yes,12,3,4,3,4,No
30,Sales,2,Technical Degree,1,Male,Married,1,1,1,0,0,0,Travel_Rarely,Sales Representative,89136,1,3,3,1,No,18,3,3,2,3,No
26,Research & Development,3,Technical Degree,1,Male,Single,0,7,6,4,0,4,Travel_Frequently,Research Scientist,111672,0,2,3,1,No,22,4,3,1,3,Yes
22,Research & Development,11,Medical,3,Female,Married,1,2,2,1,1,2,Travel_Rarely,Research Scientist,80784,1,1,3,1,No,13,3,1,2,3,No
36,Sales,2,Medical,2,Male,Married,1,10,10,9,9,0,Travel_Rarely,Sales Executive,273456,2,2,2,3,No,13,3,2,3,3,No
30,Research & Development,4,Technical Degree,3,Male,Single,9,3,1,0,0,0,Travel_Frequently,Research Scientist,82260,0,4,3,1,Yes,23,4,3,4,3,Yes
37,Research & Development,14,Life Sciences,3,Female,Divorced,1,18,18,7,12,17,Travel_Rarely,Laboratory Technician,109224,1,2,3,1,No,12,3,4,1,2,No
40,Sales,2,Marketing,2,Female,Divorced,7,8,5,4,1,3,Travel_Rarely,Sales Executive,205740,2,5,3,2,No,12,3,4,2,3,No
42,Research & Development,1,Life Sciences,4,Female,Divorced,3,8,5,2,1,2,Travel_Rarely,Laboratory Technician,92736,1,5,3,1,No,16,3,2,1,3,No
37,Research & Development,10,Life Sciences,4,Male,Single,2,18,1,0,0,1,Travel_Rarely,Manufacturing Director,151092,0,2,3,2,Yes,12,3,3,2,2,No
43,Research & Development,12,Life Sciences,3,Male,Divorced,1,25,25,10,3,9,Travel_Rarely,Research Director,516096,1,3,2,4,No,11,3,1,2,3,No
40,Research & Development,2,Medical,3,Female,Married,6,20,1,0,0,0,Travel_Rarely,Laboratory Technician,124128,1,3,2,2,No,22,4,2,3,3,No
54,Research & Development,5,Medical,2,Male,Married,4,24,4,2,1,2,Travel_Rarely,Research Director,698616,1,4,3,5,No,11,3,1,1,2,No
34,Sales,4,Marketing,4,Female,Married,9,6,3,2,1,2,Non-Travel,Sales Executive,235368,1,3,3,2,No,15,3,3,3,3,No
31,Research & Development,7,Medical,2,Female,Married,1,13,13,10,3,12,Travel_Rarely,Manufacturing Director,155016,1,5,3,2,No,12,3,2,1,1,No
43,Research & Development,21,Medical,3,Male,Married,7,8,3,2,1,2,Travel_Frequently,Laboratory Technician,81288,1,1,3,1,No,20,4,4,4,3,No
43,Research & Development,8,Other,4,Female,Divorced,4,8,5,2,0,2,Travel_Rarely,Healthcare Representative,162792,0,3,3,2,Yes,14,3,3,3,3,No
25,Sales,4,Life Sciences,2,Female,Single,1,5,5,4,1,3,Travel_Rarely,Sales Executive,161532,0,3,2,2,Yes,11,3,2,4,3,No
37,Research & Development,25,Medical,5,Female,Married,3,15,13,11,10,7,Non-Travel,Research Scientist,160164,2,2,3,2,Yes,15,3,2,3,3,No
31,Research & Development,1,Life Sciences,2,Male,Married,1,4,4,2,3,2,Travel_Rarely,Laboratory Technician,79848,1,3,2,1,No,12,3,4,1,3,No
39,Research & Development,1,Life Sciences,1,Male,Divorced,1,21,21,8,1,6,Travel_Frequently,Manager,691092,1,3,3,5,Yes,14,3,2,3,3,No
56,Sales,6,Life Sciences,3,Female,Married,9,36,7,7,7,7,Travel_Frequently,Sales Executive,475632,3,0,4,4,No,11,3,3,1,2,No
30,Sales,12,Technical Degree,3,Female,Single,0,6,5,4,4,4,Travel_Rarely,Sales Executive,236772,0,6,3,2,No,11,3,2,3,3,No
41,Sales,1,Marketing,3,Male,Married,1,10,10,7,0,7,Travel_Rarely,Sales Executive,302112,1,2,4,3,No,16,3,2,1,3,No
28,Research & Development,17,Medical,2,Male,Divorced,1,10,10,0,1,8,Travel_Rarely,Laboratory Technician,164088,1,2,3,2,No,12,3,3,1,3,No
25,Research & Development,3,Medical,3,Male,Married,5,6,2,2,0,2,Travel_Rarely,Laboratory Technician,145116,1,5,3,1,No,13,3,1,1,3,Yes
52,Research & Development,3,Medical,3,Male,Married,2,28,5,4,0,4,Travel_Rarely,Manufacturing Director,286884,0,4,2,3,Yes,14,3,4,3,3,No
45,Research & Development,10,Life Sciences,2,Male,Married,3,8,2,2,0,2,Travel_Rarely,Research Scientist,95544,2,3,3,1,No,21,4,1,4,2,No
52,Research & Development,4,Life Sciences,2,Female,Married,2,31,5,2,1,4,Travel_Rarely,Manager,595980,0,2,3,4,No,13,3,4,4,1,No
42,Research & Development,29,Life Sciences,2,Female,Divorced,2,19,5,4,0,2,Travel_Frequently,Research Scientist,164016,1,3,3,2,No,11,3,1,3,3,No
30,Research & Development,2,Life Sciences,3,Female,Single,2,11,5,4,0,2,Travel_Rarely,Manufacturing Director,219276,0,2,1,2,No,20,4,3,4,3,No
60,Research & Development,7,Life Sciences,3,Female,Married,5,33,29,8,11,10,Travel_Rarely,Manager,704376,0,5,3,5,No,11,3,1,1,1,No
46,Research & Development,18,Medical,3,Female,Divorced,2,19,10,7,0,8,Travel_Rarely,Manufacturing Director,173160,1,5,3,2,No,14,3,3,3,2,No
42,Research & Development,28,Technical Degree,4,Female,Married,0,7,6,5,0,4,Travel_Frequently,Healthcare Representative,162828,3,4,2,2,No,11,3,4,4,4,No
24,Sales,1,Technical Degree,1,Female,Single,1,6,5,3,1,4,Travel_Rarely,Sales Representative,115272,0,4,3,1,Yes,16,3,1,2,3,Yes
34,Sales,6,Marketing,2,Female,Divorced,0,3,2,2,1,0,Travel_Frequently,Sales Representative,84636,1,3,1,1,No,16,3,4,3,2,Yes
38,Research & Development,2,Life Sciences,2,Male,Married,1,1,1,0,0,0,Travel_Frequently,Laboratory Technician,61272,1,3,3,1,Yes,23,4,4,4,3,No
40,Sales,2,Life Sciences,4,Female,Married,0,21,20,15,1,12,Travel_Rarely,Manager,649476,0,2,3,5,No,14,3,3,3,3,No
26,Research & Development,23,Life Sciences,3,Female,Divorced,1,3,3,2,0,2,Travel_Rarely,Research Scientist,103896,2,3,3,1,No,22,4,1,4,1,No
30,Research & Development,3,Life Sciences,3,Male,Married,4,9,5,3,1,4,Non-Travel,Laboratory Technician,75492,1,3,3,1,No,15,3,3,4,1,No
29,Research & Development,3,Medical,4,Male,Married,1,10,10,2,0,7,Travel_Rarely,Research Director,429660,0,2,2,3,No,18,3,2,3,3,No
29,Research & Development,25,Technical Degree,5,Female,Married,5,6,2,2,1,1,Travel_Rarely,Research Scientist,91656,0,2,2,1,No,16,3,3,2,4,Yes
19,Human Resources,2,Technical Degree,2,Male,Single,1,1,1,0,0,0,Travel_Rarely,Human Resources,92304,0,3,2,1,No,12,3,1,4,4,Yes
30,Sales,22,Other,4,Female,Married,0,10,9,8,7,8,Non-Travel,Sales Executive,302832,0,3,3,3,No,11,3,3,1,3,No
57,Sales,29,Marketing,3,Male,Divorced,3,32,1,0,0,0,Travel_Rarely,Manager,508248,1,3,2,4,No,12,3,1,4,2,No
50,Research & Development,29,Life Sciences,4,Male,Married,0,28,27,10,15,7,Travel_Rarely,Manager,613656,1,2,2,4,No,15,3,2,3,3,No
30,Research & Development,2,Medical,3,Female,Single,0,12,11,7,6,7,Non-Travel,Laboratory Technician,92304,0,2,3,1,No,14,3,3,4,2,No
60,Sales,28,Marketing,3,Female,Married,4,22,18,13,13,11,Travel_Frequently,Sales Executive,369576,0,5,2,3,No,19,3,3,1,4,No
47,Research & Development,2,Medical,2,Female,Divorced,5,20,5,0,0,4,Travel_Rarely,Manufacturing Director,182520,3,2,3,2,No,13,3,1,4,3,No
46,Research & Development,2,Life Sciences,3,Male,Married,6,26,3,2,0,1,Travel_Rarely,Research Director,642996,0,2,3,4,No,13,3,1,3,1,No
35,Research & Development,22,Life Sciences,3,Male,Single,0,6,5,4,4,3,Travel_Rarely,Laboratory Technician,152280,0,2,1,1,No,15,3,4,3,3,No
54,Research & Development,8,Life Sciences,4,Female,Single,7,19,1,0,0,0,Travel_Rarely,Laboratory Technician,136080,0,3,3,2,No,11,3,3,3,3,No
34,Research & Development,2,Life Sciences,4,Male,Divorced,3,14,7,3,5,7,Travel_Rarely,Research Scientist,99648,1,3,2,1,No,12,3,4,3,3,No
46,Sales,10,Marketing,3,Female,Married,2,15,3,2,1,2,Travel_Rarely,Sales Executive,326556,1,3,2,3,Yes,19,3,3,4,3,No
31,Research & Development,9,Life Sciences,1,Male,Divorced,1,13,13,8,0,8,Travel_Rarely,Manufacturing Director,383328,1,6,3,3,No,25,4,3,2,4,No
33,Research & Development,15,Medical,1,Male,Married,7,15,7,6,7,7,Travel_Rarely,Manager,489960,0,2,3,3,Yes,12,3,2,3,4,Yes
33,Research & Development,10,Medical,1,Male,Divorced,7,8,4,3,1,3,Travel_Rarely,Laboratory Technician,122688,3,2,1,1,No,13,3,1,4,3,Yes
30,Sales,7,Marketing,1,Male,Single,0,4,3,2,1,2,Travel_Rarely,Sales Representative,107388,0,3,3,1,No,14,3,4,2,3,No
35,Research & Development,16,Life Sciences,3,Male,Married,4,10,8,7,0,0,Travel_Rarely,Healthcare Representative,274752,0,2,3,3,Yes,12,3,4,3,3,No
31,Research & Development,20,Life Sciences,3,Male,Married,3,12,1,0,0,0,Travel_Frequently,Healthcare Representative,353664,0,2,3,3,No,12,3,1,3,3,Yes
34,Human Resources,23,Human Resources,3,Female,Divorced,9,11,3,2,0,2,Travel_Frequently,Human Resources,358200,3,2,3,3,Yes,15,3,2,1,3,Yes
42,Research & Development,5,Other,2,Male,Married,4,8,2,2,2,0,Travel_Frequently,Laboratory Technician,75348,1,4,3,1,No,17,3,2,3,3,No
36,Sales,10,Medical,4,Male,Single,1,10,10,3,9,7,Non-Travel,Sales Executive,359280,0,3,3,3,No,14,3,2,4,2,No
22,Research & Development,4,Technical Degree,1,Male,Single,5,4,2,2,1,2,Travel_Frequently,Laboratory Technician,140184,0,3,2,1,No,16,3,3,3,3,Yes
48,Sales,2,Marketing,5,Female,Married,2,14,9,7,6,7,Travel_Rarely,Sales Executive,145836,1,2,3,2,No,14,3,2,4,3,No
55,Sales,18,Life Sciences,5,Female,Single,3,37,10,9,7,7,Travel_Rarely,Manager,606060,0,2,3,4,No,23,4,1,2,3,No
41,Sales,10,Life Sciences,2,Male,Single,7,16,14,3,1,10,Non-Travel,Sales Executive,224280,0,3,3,2,No,14,3,4,4,3,No
35,Sales,1,Marketing,3,Male,Married,9,15,11,9,6,9,Travel_Rarely,Sales Executive,169812,0,2,3,2,No,11,3,2,3,3,No
40,Research & Development,6,Life Sciences,3,Female,Single,7,22,20,6,5,13,Travel_Rarely,Manufacturing Director,476532,0,3,3,4,No,15,3,2,3,3,No
39,Research & Development,8,Life Sciences,1,Female,Married,1,8,8,3,0,7,Travel_Frequently,Laboratory Technician,135180,1,3,3,1,No,11,3,3,3,3,No
31,Sales,2,Life Sciences,1,Male,Single,4,10,6,5,0,5,Travel_Rarely,Sales Executive,236952,0,2,3,2,Yes,13,3,2,4,4,No
42,Research & Development,24,Medical,3,Male,Married,1,10,10,9,5,8,Travel_Rarely,Manufacturing Director,266616,1,5,3,3,Yes,21,4,4,1,2,No
45,Sales,2,Other,3,Male,Married,0,9,8,7,3,7,Travel_Rarely,Sales Executive,172980,1,3,3,2,No,19,3,4,2,4,No
26,Human Resources,17,Life Sciences,4,Female,Divorced,0,8,7,7,1,0,Travel_Frequently,Human Resources,98676,1,2,3,1,Yes,11,3,2,3,2,Yes
29,Research & Development,19,Technical Degree,3,Male,Divorced,4,8,3,2,1,2,Travel_Rarely,Manufacturing Director,153432,2,2,3,2,No,12,3,4,4,4,No
33,Research & Development,1,Medical,5,Female,Divorced,4,10,6,1,0,5,Travel_Rarely,Research Director,582624,1,2,4,4,No,19,3,1,3,3,No
31,Sales,7,Life Sciences,3,Male,Divorced,9,10,5,4,0,1,Travel_Rarely,Manager,416052,1,3,2,3,No,21,4,3,4,2,No
18,Sales,5,Marketing,3,Male,Single,1,0,0,0,0,0,Travel_Frequently,Sales Representative,67608,0,3,3,1,Yes,14,3,2,2,3,Yes
40,Sales,28,Other,3,Male,Divorced,3,20,1,0,0,1,Non-Travel,Sales Executive,393552,1,2,1,3,No,15,3,3,1,3,No
41,Research & Development,2,Other,4,Female,Single,2,10,8,7,0,7,Non-Travel,Healthcare Representative,245196,0,3,2,2,Yes,17,3,1,3,3,No
26,Sales,29,Medical,2,Male,Divorced,5,8,0,0,0,0,Travel_Rarely,Sales Executive,155016,2,5,3,2,No,12,3,1,3,3,No
35,Sales,1,Medical,3,Female,Single,1,5,5,4,0,3,Travel_Rarely,Sales Executive,174924,0,3,3,2,No,16,3,1,3,3,No
34,Sales,21,Life Sciences,4,Male,Single,1,10,10,7,5,7,Travel_Rarely,Sales Executive,192132,0,3,4,2,No,12,3,4,4,3,No
26,Research & Development,24,Technical Degree,3,Male,Single,1,1,1,0,0,0,Travel_Rarely,Laboratory Technician,84240,0,3,1,1,Yes,18,3,3,4,1,Yes
37,Research & Development,1,Technical Degree,3,Female,Single,4,12,6,5,1,2,Travel_Rarely,Manufacturing Director,269676,0,3,3,3,No,17,3,2,4,4,No
46,Research & Development,18,Medical,1,Female,Married,5,28,2,2,1,2,Travel_Frequently,Healthcare Representative,378972,0,3,3,3,No,11,3,1,3,2,No
41,Sales,2,Life Sciences,5,Female,Married,7,22,18,16,11,8,Travel_Rarely,Manager,597420,1,2,3,4,No,16,3,2,1,3,No
37,Sales,9,Medical,4,Male,Divorced,1,9,9,5,7,7,Non-Travel,Sales Executive,318024,1,6,3,3,No,13,3,1,2,3,No
52,Research & Development,6,Technical Degree,2,Male,Divorced,3,18,10,9,6,9,Travel_Rarely,Research Scientist,200772,2,3,3,2,Yes,12,3,4,1,3,No
32,Sales,11,Other,4,Male,Married,8,6,4,2,1,2,Non-Travel,Sales Executive,169452,0,2,4,2,No,12,3,4,3,3,Yes
24,Sales,24,Medical,3,Male,Married,0,3,2,2,2,1,Travel_Frequently,Sales Representative,86400,2,3,3,1,No,13,3,4,4,3,No
38,Research & Development,10,Medical,3,Female,Married,3,18,1,0,0,0,Travel_Rarely,Healthcare Representative,353664,1,4,3,2,No,19,3,3,3,3,No
37,Research & Development,1,Life Sciences,4,Female,Married,6,8,6,5,4,3,Travel_Rarely,Manufacturing Director,232092,1,2,3,2,No,12,3,2,2,2,No
49,Research & Development,18,Life Sciences,4,Male,Divorced,1,31,31,9,0,9,Travel_Rarely,Research Director,702072,1,5,2,5,Yes,17,3,4,3,3,No
24,Research & Development,23,Medical,3,Male,Married,1,6,6,5,1,4,Travel_Rarely,Research Scientist,98100,2,3,4,1,Yes,11,3,2,4,3,No
26,Sales,28,Marketing,2,Male,Married,1,6,5,3,1,4,Travel_Rarely,Sales Executive,225792,2,5,3,2,No,20,4,1,2,4,No
24,Research & Development,17,Other,2,Male,Married,1,1,1,0,0,0,Travel_Rarely,Laboratory Technician,76572,1,2,2,1,No,21,4,4,2,3,No
50,Human Resources,3,Medical,3,Male,Married,1,32,32,5,10,7,Travel_Frequently,Manager,655200,1,2,3,5,No,11,3,1,2,3,No
25,Sales,13,Medical,1,Male,Married,1,7,7,4,0,6,Travel_Rarely,Sales Representative,75456,0,1,3,1,No,11,3,2,3,3,No
24,Research & Development,7,Life Sciences,3,Female,Married,1,6,6,3,1,2,Travel_Frequently,Laboratory Technician,103896,1,4,3,1,Yes,16,3,1,3,3,Yes
30,Sales,12,Life Sciences,4,Male,Married,1,1,1,0,0,0,Travel_Frequently,Sales Representative,73188,1,2,2,1,No,18,3,2,1,4,Yes
34,Research & Development,1,Life Sciences,2,Male,Married,1,6,6,5,1,3,Travel_Rarely,Research Scientist,130392,1,3,2,1,Yes,13,3,2,4,3,No
31,Sales,13,Medical,4,Male,Divorced,2,9,3,1,1,2,Travel_Rarely,Sales Executive,152388,0,2,3,2,No,17,3,2,1,1,Yes
35,Research & Development,25,Other,2,Male,Single,4,9,3,2,0,2,Travel_Rarely,Laboratory Technician,132516,0,3,2,2,No,14,3,1,4,3,No
31,Sales,6,Medical,4,Male,Divorced,4,13,7,7,5,7,Travel_Rarely,Sales Executive,196560,2,4,4,2,No,22,4,1,4,4,No
27,Research & Development,6,Medical,4,Female,Divorced,0,6,5,3,0,3,Travel_Rarely,Research Scientist,78732,2,5,2,1,No,12,3,1,3,2,No
37,Sales,2,Marketing,3,Male,Married,4,17,3,0,1,0,Travel_Rarely,Sales Executive,345672,1,3,3,2,Yes,11,3,4,3,2,No
20,Research & Development,1,Life Sciences,3,Female,Single,1,1,1,0,0,0,Travel_Rarely,Research Scientist,102096,0,0,2,1,No,13,3,4,2,4,No
42,Research & Development,2,Life Sciences,4,Female,Married,1,10,10,2,2,2,Travel_Rarely,Healthcare Representative,147204,2,4,3,2,No,13,3,3,4,3,No
43,Research & Development,6,Other,4,Male,Divorced,4,21,1,0,0,0,Travel_Rarely,Research Director,598572,1,3,2,4,Yes,14,3,2,4,2,No
38,Research & Development,1,Life Sciences,1,Female,Single,3,8,0,0,0,0,Travel_Rarely,Research Scientist,94284,0,3,3,1,No,17,3,3,1,2,No
43,Research & Development,9,Medical,5,Male,Divorced,3,10,8,7,4,7,Travel_Frequently,Laboratory Technician,204444,1,3,3,2,Yes,13,3,4,3,3,No
48,Research & Development,1,Life Sciences,4,Female,Married,7,21,3,2,0,2,Travel_Rarely,Manager,554472,1,3,2,4,No,11,3,4,1,1,No
44,Human Resources,1,Life Sciences,4,Female,Single,4,10,2,2,0,2,Travel_Rarely,Human Resources,215460,0,1,2,2,No,11,3,1,3,4,No
34,Sales,14,Technical Degree,3,Female,Divorced,1,8,8,2,0,6,Travel_Rarely,Sales Representative,92844,2,3,3,1,Yes,18,3,3,3,3,No
27,Sales,2,Marketing,1,Male,Divorced,0,5,4,3,0,2,Travel_Rarely,Sales Representative,109476,1,3,3,1,No,11,3,3,1,3,Yes
21,Sales,22,Technical Degree,1,Male,Single,1,3,3,2,1,2,Travel_Rarely,Sales Representative,124092,0,2,3,1,No,11,3,3,3,3,No
44,Research & Development,3,Other,4,Male,Married,4,26,2,2,0,1,Travel_Rarely,Manager,702468,1,2,3,5,Yes,12,3,4,4,4,No
22,Research & Development,6,Medical,1,Male,Married,0,3,2,2,2,2,Travel_Rarely,Research Scientist,99828,0,3,3,1,No,20,4,1,3,3,No
33,Sales,8,Marketing,4,Male,Divorced,0,6,5,0,1,2,Travel_Rarely,Sales Executive,255744,0,3,3,2,No,12,3,3,3,3,No
32,Research & Development,9,Life Sciences,4,Female,Married,1,6,6,4,0,5,Travel_Rarely,Research Scientist,227592,1,2,3,2,Yes,12,3,1,4,2,No
30,Research & Development,3,Medical,3,Female,Divorced,1,1,1,0,0,0,Travel_Frequently,Research Scientist,74988,1,2,3,1,No,20,4,3,3,3,No
53,Sales,1,Medical,1,Female,Single,7,18,14,7,8,10,Travel_Rarely,Sales Executive,301716,0,2,3,2,No,20,4,4,1,4,No
34,Research & Development,1,Life Sciences,5,Male,Married,1,10,10,9,8,8,Travel_Rarely,Research Scientist,96876,1,4,3,1,No,12,3,2,4,2,No
45,Sales,26,Life Sciences,4,Female,Married,2,5,1,1,0,0,Travel_Frequently,Sales Executive,154296,2,4,3,2,No,14,3,1,1,3,Yes
26,Research & Development,6,Life Sciences,3,Female,Married,1,3,3,2,0,2,Travel_Rarely,Laboratory Technician,95724,1,2,3,1,Yes,13,3,3,4,3,No
37,Research & Development,3,Other,3,Male,Married,1,10,10,7,7,8,Travel_Rarely,Manufacturing Director,339624,1,2,3,3,No,15,3,3,3,3,No
29,Sales,3,Medical,2,Female,Married,1,6,6,0,1,2,Travel_Rarely,Sales Executive,200196,1,5,3,2,No,14,3,2,3,2,No
35,Research & Development,6,Life Sciences,4,Male,Single,1,17,17,11,11,8,Travel_Rarely,Research Scientist,239256,0,3,1,2,No,13,3,2,4,3,No
33,Research & Development,6,Life Sciences,3,Male,Divorced,3,15,13,11,4,7,Travel_Frequently,Healthcare Representative,278100,1,2,3,2,No,23,4,3,4,1,No
54,Human Resources,19,Medical,4,Male,Married,2,16,9,7,7,1,Travel_Rarely,Human Resources,386100,1,1,3,3,No,15,3,3,2,4,No
36,Research & Development,9,Medical,2,Male,Divorced,2,13,3,2,0,2,Travel_Rarely,Manufacturing Director,318492,1,2,2,2,Yes,11,3,2,2,3,No
27,Research & Development,3,Medical,4,Male,Single,0,5,4,2,1,1,Travel_Rarely,Research Scientist,73620,0,0,2,1,No,13,3,1,4,3,No
20,Research & Development,10,Medical,1,Male,Single,1,1,1,0,1,1,Travel_Rarely,Research Scientist,36324,0,5,3,1,Yes,11,3,4,3,3,Yes
33,Research & Development,3,Life Sciences,3,Male,Single,1,10,10,8,9,7,Travel_Frequently,Research Scientist,120528,0,3,3,1,Yes,11,3,1,1,3,Yes
35,Research & Development,3,Life Sciences,3,Male,Married,1,1,1,0,0,0,Non-Travel,Laboratory Technician,46116,2,3,2,1,No,18,3,3,3,3,No
23,Research & Development,4,Medical,3,Male,Married,2,5,3,2,0,2,Travel_Rarely,Research Scientist,101484,1,3,4,1,No,16,3,1,1,4,No
25,Sales,8,Life Sciences,3,Male,Married,0,4,3,2,1,2,Travel_Rarely,Sales Executive,174636,1,4,4,2,No,22,4,4,2,3,No
38,Sales,7,Marketing,4,Female,Single,0,8,7,7,0,5,Travel_Rarely,Sales Executive,145008,0,2,2,2,No,20,4,4,4,3,No
29,Research & Development,1,Life Sciences,4,Male,Divorced,1,10,10,7,2,8,Travel_Frequently,Research Scientist,97920,1,5,1,1,No,18,3,2,4,3,No
48,Sales,2,Marketing,1,Male,Married,3,12,2,2,2,2,Travel_Rarely,Sales Executive,292320,0,3,4,2,No,12,3,2,2,3,No
27,Sales,3,Medical,1,Female,Divorced,1,6,6,5,0,4,Travel_Frequently,Sales Executive,167292,2,3,4,2,Yes,20,4,4,4,3,No
37,Research & Development,10,Life Sciences,2,Male,Single,3,4,1,0,0,0,Travel_Rarely,Research Scientist,168480,0,2,4,1,No,17,3,4,4,3,No
50,Research & Development,28,Medical,1,Male,Married,1,20,20,8,3,8,Travel_Rarely,Laboratory Technician,115956,3,3,4,1,Yes,11,3,4,3,3,No
34,Research & Development,9,Medical,3,Female,Single,1,9,8,7,7,7,Travel_Rarely,Healthcare Representative,310356,0,3,2,3,No,14,3,4,2,4,No
24,Sales,3,Life Sciences,2,Female,Single,9,4,2,2,2,0,Travel_Rarely,Sales Executive,164772,0,3,3,2,No,14,3,1,3,3,Yes
39,Research & Development,2,Technical Degree,4,Female,Single,1,20,20,7,11,10,Travel_Rarely,Healthcare Representative,163908,0,4,2,2,No,11,3,4,3,3,No
32,Sales,10,Marketing,3,Male,Single,1,10,10,7,0,8,Travel_Rarely,Sales Executive,194256,0,2,3,2,No,12,3,4,4,2,No
50,Sales,8,Technical Degree,2,Male,Married,3,18,4,3,1,3,Travel_Frequently,Sales Executive,244656,1,4,3,2,Yes,14,3,2,3,3,Yes
38,Research & Development,1,Life Sciences,4,Female,Single,0,10,9,7,1,8,Travel_Rarely,Healthcare Representative,274500,0,4,4,2,No,13,3,2,4,2,No
27,Research & Development,1,Life Sciences,2,Female,Married,1,9,9,7,0,7,Travel_Rarely,Manufacturing Director,266832,0,3,3,3,No,11,3,3,1,3,No
